Gaststätte „Gliggermühle“,Ludwigstraße 7,Altrip,1732,"Fachwerkhaus, teilweise massiv, 1732",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Altrip,49.433225,8.502774
Toranlage,"Hauptstraße, zu Nr. 1",Heuchelheim bei Frankenthal,1742,"Toranlage, bezeichnet 1742",Kein Bild vorhanden,49.563293,8.290247
Wohnhaus,Hauptstraße 7,Heuchelheim bei Frankenthal,1731,"barockes Wohnhaus, 1731",Kein Bild vorhanden,49.563333,8.290715
Rat- und Schulhaus,Hauptstraße 9,Heuchelheim bei Frankenthal,1821,"ehemaliges Rathaus und zweites Schulhaus, sandsteingegliederter Putzbau, 1821, Aufstockung 1855, Uhrturm; ortsbildprägend",Kein Bild vorhanden,49.563228,8.291067
Brunnen,"Hauptstraße, bei Nr. 9",Heuchelheim bei Frankenthal,1900!um 1900,"gusseiserner Neurenaissancebrunnen, um 1900",Kein Bild vorhanden,49.563143,8.291136
Wohnhaus,Karolinenstraße 6,Heuchelheim bei Frankenthal,1758,"barockes Wohnhaus, Krüppelwalmdach; Torfahrt bezeichnet 1758",,49.562778,8.29026
Protestantische Kirche,Kirchenstraße 10,Heuchelheim bei Frankenthal,1100!Anfang des 12. Jahrhunderts,"Saalbau, im Kern vom Anfang des 12. Jahrhunderts, Erweiterung wohl im 14. Jahrhundert, Umbau (Erhöhung?) 1556, Schiff 1738 überformt; im Turm von 1738 Epitaph der Agatha Helmstat, genannt Eckbrecht von Dürkheim († 1605); mit Ausstattung; am Außenbau Bauinschrift von 1566, Grabplatte aus dem 12. oder 13. Jahrhundert",,49.563947,8.292316
Grabmäler,"Friedhofstraße, auf dem Friedhof",Hochdorf-Assenheim,1912!ab 1912,"Friedhof 1737 angelegt, 1835, 1905 und 1970 erweitert; zwei Grabmäler: Familie J. Fix, Portalarchitektur, 1919; Familie Chor, Portalarchitektur, Gussstein, 1912",Kein Bild vorhanden,49.422494,8.287383
Protestantische Pfarrkirche,Langstraße 23,Hochdorf-Assenheim,1752!1752–58,"spätbarocker Saalbau mit Mansarddach, 1752–58; ortsbildprägend",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Assenheim,49.424472,8.285649
Rathaus,Langstraße 25,Hochdorf-Assenheim,1712,"ehemaliges Rathaus; barocker Walmdachbau, teilweise Fachwerk, bezeichnet 1712; ortsbildprägend",//commons.wikimedia.org/wiki/Category:Rathaus_Assenheim,49.424595,8.285903
Friedhofskreuz und Grabkreuze,"Am Dorfgraben, auf dem Friedhof",Hochdorf-Assenheim,1700!18. Jahrhundert,"Friedhof in den 1820/30er Jahren angelegt, um 1855, um 1910 und 1975 erweitert; Friedhofskreuz, Sandstein, bezeichnet 1758; in der Umfassungsmauer Grabkreuze, 18. Jahrhundert",Kein Bild vorhanden,49.41554,8.276238
Katholische Pfarrkirche St. Petrus,Hauptstraße 51,Hochdorf-Assenheim,1100!ab der ersten Hälfte des 12. Jahrhunderts,"spätbarocker Saalbau, bezeichnet 1756, Erweiterung 1973/74; ehemaliger Chorflankenturm, im Kern mittelalterlich (erste Hälfte des 12. Jahrhunderts?), Glockengeschoss 1923; mit Ausstattung",//commons.wikimedia.org/wiki/Category:St._Peter_(Hochdorf),49.4172,8.275285
Katholisches Pfarrhaus,Hauptstraße 53,Hochdorf-Assenheim,1756,"repräsentativer sandsteingegliederter Putzbau, 1756; Mannpforte bezeichnet 1596, Torfahrt bezeichnet 1718; Teil der Umfassaungsmauer, 16. bis 18. Jahrhundert",Kein Bild vorhanden,49.417416,8.274966
Wohnhaus,Hauptstraße 78,Hochdorf-Assenheim,1800!um 1800,"eingeschossiges Wohnhaus mit Krüppelwalmdach, wohl um 1800; bauzeitliche Fachwerkscheune",Kein Bild vorhanden,49.416915,8.274308
Schul- und Rathaus,Hauptstraße 83,Hochdorf-Assenheim,1819,"ehemaliges Schul- und Rathaus; eingeschossiger sandsteingegliederter Putzbau, bezeichnet 1819",Kein Bild vorhanden,49.416543,8.27253
Wohnhaus,Hauptstraße 97,Hochdorf-Assenheim,1777,"spätbarockes Wohnhaus, Torfahrt bezeichnet 1777",Kein Bild vorhanden,49.416278,8.271878
Gut des Johanniterordens,Hauptstraße 110,Hochdorf-Assenheim,1782,"ehemaliges Gut des Johanniterordens; spätbarocker Hakenhof, bezeichnet 1782; eingeschossiger Krüppelwalmdachbau, teilunterkellerte Bruchsteinscheune; klassizistische Torpfosten",Kein Bild vorhanden,49.41624,8.272093
Bildstock,"Hauptstraße, bei Nr. 166",Hochdorf-Assenheim,1785,"Bildstock, spätbarocke Stationskapelle, bezeichnet 1785",Kein Bild vorhanden,49.414506,8.267874
Wegekreuz,"südlich des Ortes, an der K 18; Flur Ober dem Dorfgraben, Dritte Gewanne",Hochdorf-Assenheim,1858,"Wegekreuz; Missionskreuz, bezeichnet 1858",Kein Bild vorhanden,49.411124,8.279558
Spolie,"Bobenheimer Straße, zu Nr. 14",Kleinniedesheim,1100!12. Jahrhundert,"in der Gartenmauer: romanischer reliefierter Kämpferstein, 12. Jahrhundert",Kein Bild vorhanden,49.58777,8.324434
Dreiseithof,Enggasse 1,Kleinniedesheim,1850!zweite Hälfte des 19. Jahrhunderts,"Dreiseithof, zweite Hälfte des 19. Jahrhunderts; zwei eineinhalbgeschossige Sandsteinqauderbauten, bezeichnet 1864 und 1871; Ökonomie und Hofpflaster bauzeitlich",Kein Bild vorhanden,49.58743,8.324009
Dreiseithof,Enggasse 11,Kleinniedesheim,1850!um 1850,"Dreiseithof; klassizistischer Putzbau, Krüppelwalm, eventuell im Kern barock, um 1850 überformt; Altensitz, Ökonomie und Torfahrt um 1870",Kein Bild vorhanden,49.586957,8.323221
Schloss Kleinniedesheim,Großniedesheimer Straße 1/3,Kleinniedesheim,"","ehemaliges Schloss der Freiherren von Gagern; spätbarocke Zweiflügelanlage mit Mansardwalmdächern, dreigeschossiger Eckturm, Gewölbekellereingang bezeichnet 1762; Bruchsteinscheune, 18. Jahrhundert; zugehörig der im Westen anschließende ehemalige Schlossgarten, heute Weinberg, mit Pavillon: unterkellerter zweigeschossiger Rundbau, doppelläufige Freitreppe, Kuppeldach",//commons.wikimedia.org/wiki/Category:Kleinniedesheimer_Schloss,49.587374,8.322157
Dreiseithof,Großniedesheimer Straße 9,Kleinniedesheim,1700!18. und 19. Jahrhundert,"Dreiseithof, 18. und 19. Jahrhundert; Ökonomie mit Walmdach, 18. Jahrhundert (1785?), Scheune wohl gleichzeitig; eingeschossiges Wohnhaus mit Kniestock, 1899",Kein Bild vorhanden,49.586935,8.321876
Rat- und Schulhaus,Großniedesheimer Straße 12,Kleinniedesheim,1766,"ehemaliges Rat- und Schulhaus; spätbarocker Walmdachbau, bezeichnet 1766",Kein Bild vorhanden,49.58699,8.32208
Dreiseithof,Großniedesheimer Straße 13,Kleinniedesheim,1700!18. Jahrhundert,"Dreiseithof, 18. Jahrhundert, im 19. Jahrhundert teilweise verändert; barocke Bruchsteinbauten, ursprünglich verputzt; Torfahrt, Mitte des 19. Jahrhunderts, Mannpforte bezeichnet 1748",Kein Bild vorhanden,49.586587,8.321627
Protestantische Kirche,Großniedesheimer Straße 16,Kleinniedesheim,1725!1725/26,"barocker Saalbau mit Firstreiter, 1725/26; Ausstattung; Kriegerdenkmal 1866 und 1870/71, Sandstein, 1900 von E. Glückstein, Frankenthal",,49.586604,8.321944
Kriegerdenkmal,"Großniedesheimer Straße, bei Nr. 16",Kleinniedesheim,1900,"Kriegerdenkmal 1866 und 1870/71, Sandstein, 1900 von E. Glückstein, Frankenthal",,49.586696,8.321986
Denkmalzone Ortskern,"Hauptstraße 1–105, Hinterstraße 2–98 (gerade Nummern) und 3–113 (ungerade Nummern), Jahnstraße 1–4 und 6, Junkergasse 1 und 2, Klaragasse 5–7 und 10, Lochgasse 1–5, Marktstraße 1–17 (ungerade Nummern), 2–26 (gerade Nummern) und 27, Stadtgrabenstraße 14a–d, Wallstraße 1, Weisenheimer Straße 1",Lambsheim,1700!seit dem 18. Jahrhundert,"der von der Stadtbefestigung infolge der Stadtrechtsverleihung im 14. Jahrhundert eingefasste Bereich, Typus der im 13. oder 14. Jahrhundert gegründeten Stadt mit leiterartiger Straßenführung; Parzellengrößen und -gliederung bis ins frühe 18. Jahrhundert zurückreichend, Bausubstanz vornehmlich Hofanwesen des 18. Jahrhunderts, Scheunenkränzen, große Dichte qualitätvoller Bauten in geschlossener Baubauung",Kein Bild vorhanden,49.513169,8.287234
Denkmalzone Jüdischer Friedhof,nördlich des Ortes und des christlichen Friedhofs; Flur Am Judenkirchhof,Lambsheim,1822,"von 1822 bis 1937 belegt, 1856 erweitert; circa 170 Grabsteine, vor 1856 größtenteils hebräisch, teilweise hebräisch/deutsch beschriftet",Kein Bild vorhanden,49.523476,8.288651
Jagdschloss Lambsheim,Am Schlossgarten 13,Lambsheim,1706!1706/07,"Jagdschloss des Generals von Efferen; barocker Putzbau, 1706/07, Erweiterung um 1890",Kein Bild vorhanden,49.508332,8.285816
Gaststätte und Hotel,Bahnhofstraße 2,Lambsheim,1880!um 1880,"Gaststätte und Hotel; spätklassizistischer Putzbau, um 1880; in der Ringstraße etwas jüngerer Saalbau",Kein Bild vorhanden,49.512111,8.283761
Bahnhof Lambsheim,Bahnhofstraße 3,Lambsheim,1877,"Bahnhofsgebäude; sandsteingegliederter Putzbau, 1877",Kein Bild vorhanden,49.511944,8.283373
"Friedhofskapelle, Kreuze und Grabmäler","Friedhofstraße, auf dem christlichen Friedhof",Lambsheim,1767!ab 1767,"Friedhof 1836 angelegt, 1890 und zuletzt 1984 erweitert

1839 als Friedhofskapelle translozierte ehemalige lutherische Pfarrkirche: barocker Saal 1790/91, Dachturm 1916
zwei Kreuze, bezeichnet 1767 und 1807, Korpus Ende des 19. Jahrhunderts
Grabmäler: G. Scherf († 1912), F. Burré († 1905), A. M. Roob († 1841) und J. Roob († 1845) sowie Eheleute Reudelhuber († 1852 und 1882): klassizistische Stelen, Grabmal E. und E. M. Roob († 1860 und 1861); M. Noessel († 1860), antikisierend; K. Wendel († 1865): Tondo mit Marmorbüste, J. V. Reudelhuber († 1870), reliefierte neugotische Stele, signiert M. Darnberger, E. Groß († 1870): neugotische Skulptur, W. Reudelhuber († 1875), G. Reudelhuber († 1879).: neugotische Stele, H. Reich († 1881): antikisierende Stele, P. Müller († 1884): antikisierende Stele von E. Glückstein, Frankenthal, Dr. Ph. L. Groß († 1894): Stele mit Bildnis, Bronze, 1895 von E. Glückstein, Frankenthal

",//commons.wikimedia.org/wiki/Category:St.-Stephanus-Kirche_(Lambsheim),49.519867,8.287878
Wegekreuz,"Friedhofstraße, Ecke Münchgrabenstraße",Lambsheim,1700!18. Jahrhundert,"Wegekreuz, barocker Sockel, 18. Jahrhundert, Kreuz und Korpus aus der zweiten Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.518587,8.287478
Protestantisches Pfarrhaus,Hauptstraße 2,Lambsheim,1849!,"repräsentativer zweieinhalbgeschossiger klassizistischer Walmdachbau, 1849",Kein Bild vorhanden,49.511912,8.286476
Wohnhaus,Hauptstraße 3,Lambsheim,1775!spätes 18. Jahrhundert,"spätbarockes Wohnhaus mit Wirtschaftsräumen, spätes 18. Jahrhundert",//commons.wikimedia.org/wiki/Category:Evangelische_Kirche_(Lambsheim),49.511891,8.286232
Katholische Pfarrkirche St. Stephanus,Hauptstraße 4,Lambsheim,1785!1785–89,"spätbarocker Saalbau, 1785–89, Firstreiter 1909–12; mit Ausstattung",Kein Bild vorhanden,49.511922,8.287206
Stadtbefestigung,"Hauptstraße, bei Nr. 4 und 6",Lambsheim,1323!nach 1323,"von der kurz nach der Stadtrechtsverleihung 1323 begonnenen, 1471 geschleiften, wiederaufgebauten, 1852 weitgehend abgetragenen Stadtbefestigung sind nur geringe Reste erhalten; ein Mauerstück südlich der beiden Pfarrkirchen und der sogenannte Neutorturm an Hauptstraße/Turmstraße",Kein Bild vorhanden,49.511767,8.287013
Kriegerdenkmal,"Hauptstraße, bei Nr. 4 und 6",Lambsheim,1876!ab 1876,"an der Stadtmauer: Kriegerdenkmal 1849, 1866 und 1870/71, kreuzbekrönter Pfeiler, 1876; Kriegerdenkmal 1914/18, flankierende bayerische Löwen",Kein Bild vorhanden,49.511883,8.287046
Wohnhaus,Hauptstraße 5,Lambsheim,1850!um 1850,"Wohnhaus, klassizistischer Walmdachbau, um 1850; Nebengebäude größtenteils bauzeitlich",Kein Bild vorhanden,49.511996,8.286314
Protestantische Pfarrkirche,Hauptstraße 6,Lambsheim,1250!ab der Mitte des 13. Jahrhunderts,"neuromanischer Saalbau, 1844–47; drei Turmuntergeschosse aus der Mitte des 13. Jahrhunderts, neugotischer Turmaufbau von 1860/61; mit Ausstattung; Gedenktafel 1939–45, 1946; Epitaphe des 16. bis 18. Jahrhunderts; ortsbildprägend",Kein Bild vorhanden,49.512138,8.286774
Katholisches Pfarrhaus,Hauptstraße 7,Lambsheim,1770,"repräsentativer barocker Krüppelwalmdachbau, bezeichnet 1770; rückwärtiges Nebengebäude, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.512107,8.28639
Torbogen,"Hauptstraße, zu Nr. 21",Lambsheim,1750!zweite Hälfte des 18. Jahrhunderts,"Torbogen mit Scheitelstein, zweite Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.512486,8.286657
Gasthaus „Zum Hirschen“,Hauptstraße 23,Lambsheim,1582,"ehemalige Schildwirtschaft „Zum Hirschen“; spätgotisches Hofhaus, bezeichnet 1582; spätmittelalterliches Fachwerkobergeschoss und -giebel 1720 teilweise erneuert; Kellerabgang des Nebengebäudes bezeichnet 1569",Kein Bild vorhanden,49.512589,8.286724
Fachwerkhaus,Hauptstraße 29,Lambsheim,"","im Kern spätmittelalterliches Fachwerkhaus über tonnengewölbtem Keller, im 19. Jahrhunderts teilweise massiv ersetzt",Kein Bild vorhanden,49.512877,8.286884
Wohn- und Geschäftshaus,Hauptstraße 33,Lambsheim,1735,"spätbarockes Wohn- und Geschäftshaus über gewölbtem Keller, bezeichnet 1735 und 1759",Kein Bild vorhanden,49.513004,8.286948
Rathaus,Hauptstraße 35,Lambsheim,1936,"repräsentativer Walmdachbau mit Laterne, weitgehend Neubau von 1936 in Formen des auf das 15. Jahrhundert zurückgehenden, um 1600 und 1780 umgebauten Vorgängers (bezeichnet 1487 und 1780); ortsbildprägend",Kein Bild vorhanden,49.513227,8.287142
Wohn- und Geschäftshaus,Hauptstraße 36,Lambsheim,1850!zweite Hälfte des 19. Jahrhunderts,"Wohn- und Geschäftshaus, zweite Hälfte des 19. Jahrhunderts, Ladeneinbau aus dem ersten Viertel des 20. Jahrhunderts; straßenbildprägend",Kein Bild vorhanden,49.513027,8.287152
Hofanlage,Hauptstraße 44,Lambsheim,1756,"barocke Hofanlage; sandsteingegliedertes Eckwohnhaus mit Walmdach, bezeichnet 1756 und 1760, im Kern älter, im 19. Jahrhundert teilweise verändert",Kein Bild vorhanden,49.51333,8.287374
Hofanlage,Hauptstraße 45,Lambsheim,1708,"herrschaftliches barockes Hofhaus, letztes Viertel des 18. Jahrhunderts, Scheune bezeichnet 1708",Kein Bild vorhanden,49.513539,8.287294
Wohnhaus,Hauptstraße 46,Lambsheim,1775!spätes 18. Jahrhundert,"spätbarockes Wohnhaus, spätes 18. Jahrhundert",Kein Bild vorhanden,49.513559,8.287509
Hofanlage,Hauptstraße 47,Lambsheim,1753!ab 1753,"stattliche barocke Hofanlage; Walmdachbau, drittes Viertel des 18. Jahrhunderts, Mansardwalmdachscheune, bezeichnet 1753, Remise bezeichnet 1766, Hofplaster um 1850",Kein Bild vorhanden,49.513687,8.287391
Hofanlage,Hauptstraße 48,Lambsheim,1700!18. Jahrhundert,"barockes Hofhaus, 18. Jahrhundert; Torfahrt bezeichnet 1609, Hofpflaster spätes 19. Jahrhundert",Kein Bild vorhanden,49.51375,8.287634
Wohnhaus,Hauptstraße 52,Lambsheim,1800!um 1800,"eingeschossiger Krüppelwalmdachbau, um 1800, mit älteren Fachwerkteilen; Stammhaus der jüdischen Familie Weill; Betstube mit Betnische um 1780",Kein Bild vorhanden,49.514046,8.28782
Wohnhaus,Hauptstraße 58/60,Lambsheim,1832,"Doppelhaus mit Krüppelwalmdach, bezeichnet 1832 und 1835",Kein Bild vorhanden,49.514181,8.287913
Wohnhaus,Hauptstraße 59,Lambsheim,1769,"barocker Putzbau, Torfahrt bezeichnet 1769",Kein Bild vorhanden,49.514074,8.287659
Vierseithof,Hauptstraße 61,Lambsheim,1722,"großer barockes Vierseithof; sandsteingegliederter Walmdachbau, bezeichnet 1722",//commons.wikimedia.org/wiki/Category:Neutorturm_(Lambsheim),49.514182,8.287727
Hofanlage,Hauptstraße 72,Lambsheim,1722,"Hofanlage; Wohnhaus: zweigeschossiger Putzbau mit Gewölbekeller, Walmdach, doppelläufige Treppe mit profilierten Wangen; Torbogen mit Scheitelstein, 1722; Rückanseitigen Anbau barock",Kein Bild vorhanden,49.514658,8.288249
Wohnhaus,Hauptstraße 77,Lambsheim,1770,"spätbarocker Krüppelwalmdachbau, bezeichnet 1770; Toranlage, bezeichnet 1752",Kein Bild vorhanden,49.514906,8.288202
Torfahrt,"Hauptstraße, zu Nr. 79",Lambsheim,1780,"barocke Torfahrt, bezeichnet 1780",Kein Bild vorhanden,49.514999,8.288255
Torfahrt,"Hauptstraße, zu Nr. 81",Lambsheim,1600!um 1600,"Torfahrt, um 1600",Kein Bild vorhanden,49.515132,8.288341
Wohnhaus,Hauptstraße 82,Lambsheim,1750!zweite Hälfte des 18. Jahrhunderts,"barockes Wohnhaus, zweite Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.515107,8.288502
Hofhaus,Hauptstraße 104,Lambsheim,1700!18. Jahrhundert,"eingeschossiges langgestrecktes Hofhaus, 18. Jahrhundert, bezeichnet 1932 (Renovierung)",Kein Bild vorhanden,49.515512,8.288748
Neutorturm,"Hauptstraße, Ecke Turmstraße",Lambsheim,"","Turm des ehemaligen äußeren Torhauses der Stadtbefestigung; dreigeschossiger Rundturm, die unteren beiden Geschosse bauzeitlich, drittes Geschoss und Dach von 1907; Wappenstein, 1570",Kein Bild vorhanden,49.516066,8.288868
Hakenhof,Hinterstraße 3,Lambsheim,1762,"barocker Hakenhof; eingeschossiges Wohnhaus, bezeichnet 1762; Durchfahrt",Kein Bild vorhanden,49.512483,8.287536
Wohnhaus,Hinterstraße 10,Lambsheim,1837,"Wohnhaus mit Krüppelwalmdach, klassizistische Motive, bezeichnet 1837",Kein Bild vorhanden,49.512379,8.287548
Wappensteine,"Hinterstraße, an Nr. 11",Lambsheim,1585,"zwei Wappensteine am Hoftor des ehemaligen Gutes der Leysser (Lusser) von Lambsheim, einer bezeichnet 1585",Kein Bild vorhanden,49.512191,8.288175
Wohnhaus,Hinterstraße 24,Lambsheim,1500!16. oder frühes 17. Jahrhundert,"eingeschossiger Putzbau, 16. oder frühes 17. Jahrhundert",Kein Bild vorhanden,49.512073,8.288341
Wohnhaus,Hinterstraße 33,Lambsheim,1700!18. Jahrhundert,"barockes Wohnhaus mit Krüppelwalmdach, im Kern aus dem 18. Jahrhundert, Überformung aus der ersten Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.512496,8.289106
Hofhaus,Hinterstraße 34,Lambsheim,1771,"eingeschossiges Hofhaus, bezeichnet 1771, im Kern mittelalterlich",Kein Bild vorhanden,49.512339,8.289188
Fachwerkhaus,Hinterstraße 40,Lambsheim,1798,"spätbarockes Fachwerkhofhaus, bezeichnet 1798, in der ersten Hälfte des 19. Jahrhunderts teilweise massiv ersetzt; ursprüngliche Torfahrt im Hof, bezeichnet 1778",Kein Bild vorhanden,49.512698,8.289252
Hofanlage,Hinterstraße 42,Lambsheim,1775!spätes 18. oder frühes 19. Jahrhundert,"barocke Hofanlage, spätes 18. oder frühes 19. Jahrhundert; Wohnhaus mit Krüppelwalm, eingeschossige Ökonomie mit Mansarddach, Scheune bezeichnet 1772",Kein Bild vorhanden,49.512846,8.289258
Dreiseithof,Hinterstraße 81,Lambsheim,1700!18. und 19. Jahrhundert,"Dreiseithof, 18. und 19. Jahrhundert; eineinhalbgeschossiges Wohnhaus, wohl noch 18. Jahrhundert, eingeschossiger Altensitz, Toranlage",Kein Bild vorhanden,49.514546,8.289551
Scheune,"Hinterstraße, zu Nr. 105",Lambsheim,1677,"Scheune der Rossmühle, teilweise über tonnengewölbtem Keller, bezeichnet 1677",Kein Bild vorhanden,49.515216,8.290523
Meckenheimersches Schloss,Junkergasse 1,Lambsheim,1500!um 1500,"Zweiflügelanlage mit Walmdächern, im Kern um 1500, wohl nach 1648 wiederaufgebaut, 1740 modernisiert mit spätbarockem Dachturm",Kein Bild vorhanden,49.513475,8.288274
Wohnhaus,Marktstraße 1,Lambsheim,1758,"eingeschossiger barocker Mansarddachbau mit Torfahrt, bezeichnet 1758, Seitenflügel bezeichnet 1755",Kein Bild vorhanden,49.513185,8.287938
Hofanlage,Marktstraße 2,Lambsheim,1740!ab 1740,"zweieinhalbgeschossiger historisierender Putzbau, zweite Hälfte des 19. Jahrhunderts, Nebengebäude teilweise 18. Jahrhundert, Scheune bezeichnet 1740; ortsbildprägend",Kein Bild vorhanden,49.513096,8.287498
Wohnhaus,Marktstraße 3,Lambsheim,1775!spätes 18. Jahrhundert,"barocker Putzbau, spätes 18. Jahrhundert; rustizierte Torfahrt",,49.513183,8.288124
Hofanlage,Marktstraße 4,Lambsheim,1750!zweite Hälfte des 18. Jahrhunderts,"barocke Hofanlage, zweite Hälfte des 18. Jahrhunderts; eingeschossiger Mansarddachbau",,49.513094,8.28779
Torfahrt,"Marktstraße, zu Nr. 18",Lambsheim,1700!frühes 18. Jahrhundert,"barocke Torfahrt, wohl aus dem frühen 18. Jahrhundert",,49.513094,8.28902
Lambsheimer Mühle,Mühltorstraße 1,Lambsheim,1804,"klassizistische Toranlage, bezeichnet 1804, einseitig abgewalmte Mansarddachscheune, 1806, klassizistisches Wohnhaus, 1818",,49.50676,8.288802
Rathaus,Mühltorstraße 25,Lambsheim,1706,"Verwaltungsgebäude des ehemaligen Efferen’schen Jagdschlosses; u-förmige Anlage, im Kern von 1706, mehrfach überformt; zweieinhalbgeschossiger Winkelbau, teilweise Fachwerk (verputzt), Walmdächer, heutige Erscheinung um 1855; platzbildprägend",,49.509711,8.285815
Wohnhaus,Mühltorstraße 26,Lambsheim,1850!zweite Hälfte des 19. Jahrhunderts,"zweieinhalbgeschossiger Walmdachbau, zweite Hälfte des 19. Jahrhunderts; straßenbildprägend",,49.510151,8.285755
Villa,Mühltorstraße 33,Lambsheim,1902,"eineinhalbgeschossige sandsteingegliederte Backsteinvilla, bezeichnet 1902; Remise",,49.510985,8.286103
Wohnhaus,Mühltorstraße 37,Lambsheim,1850!zweite Hälfte des 19. Jahrhunderts,"sandsteingegliederter Putzbau mit Torfahrt, zweite Hälfte des 19. Jahrhunderts",,49.511254,8.286138
Vierseithof,Ringstraße 65,Lambsheim,1850!zweite Hälfte des 19. Jahrhunderts,"Vierseithof, zweite Hälfte des 19. Jahrhunderts; eineinhalbgeschossiges Wohnhaus; Scheune",,49.512358,8.284102
Villa,Stadtgrabenstraße 37,Lambsheim,1930!um 1930,"Walmdachvilla, um 1930; Einzäunung",,49.512351,8.285105
Neutorschule,Weisenheimer Straße 1,Lambsheim,1905!1905/07,"Winkelbau mit Walmdächern, Heimatstil, 1905/07, Architekt Bezirksbaumeister Hofferbert, Frankenthal",,49.516106,8.288171
Denkmalzone Alte Kolonie,"Brunckstraße 1–39, Sieglestraße 1–40, Speyerer Straße 22–32 (gerade Nummern)",Limburgerhof,1900!1900/01,"Arbeitersiedlung der BASF, Ludwigshafen, 1900/01, Architekt Eugen Haueisen; eineinhalbgeschossige Doppelhäuser, Ziegelbauten auf Hausteinsockeln, Krüppelwalmdächer; eingeschossige Anbauten mit Waschküche, Hausgärten",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Limburgerhof,49.41993,8.391881
Denkmalzone Neue Kolonie,"Carostraße 1–16, 18, 20, Hanserstraße 2–6 (gerade Hausnummern) und 8–24, Kaiserallee 9–27 (ungerade Hausnummern), Knietschstraße 1–24, Knospstraße 10–40 (gerade Hausnummern), Berliner Platz 13",Limburgerhof,1913!1913 ff.,"Arbeitersiedlung der BASF, Ludwigshafen, 1913 ff., Architekt Theodor Fischer, München; Feierabendhaus (s. Berliner Platz 13); Einheiten à zwei bis sechs Doppelhäuser, eingeschossige Putzbauten, teilweise mit Krüppelwalmen und Gauben, Eingänge hinter Loggien mit zweiläufigen Freitreppen; eingeschossige Anbauten mit Waschküche, Hausgärten",//commons.wikimedia.org/wiki/Category:St._Bonifatius_(Limburgerhof),49.418867,8.392691
Feierabendhaus,Berliner Platz 13,Limburgerhof,1913,"Feierabendhaus der BASF-Siedlung; an klassizistischen Schlossbauten orientierter Baukörper, 1913, Architekt Theodor Fischer, München",Kein Bild vorhanden,49.419186,8.393688
Protestantische Pfarrkirche,Kirchenstraße 1,Limburgerhof,1955!1955–57,"Stahlbetonskelettbau, Fensterband unterhalb des flachen Daches, freistehender Glockenturm, 1955–57, Architekt Egon Freyer, Speyer",//commons.wikimedia.org/wiki/Category:Alter_Bahnhof_(Limburgerhof),49.42244,8.392492
Katholische Pfarrkirche St. Bonifatius,Kirchenstraße 21,Limburgerhof,1936!1936/37,"monumentaler Saalbau mit Glockenturm, Sakristei, Vorhalle, 1936/37, Architekt Josef Ohmer, Ludwigshafen",//commons.wikimedia.org/wiki/Category:Turm_im_Park_(Limburgerhof),49.420884,8.39082
Lehrerwohnhäuser,Parkstraße 4–10,Limburgerhof,1914,"eingeschossige Häuserzeile mit Mansarddach, 1914",//commons.wikimedia.org/wiki/Category:Mennonite_cemetery_in_Limburgerhof-Kohlhof,49.41805,8.395452
Schulhaus,Parkstraße 12,Limburgerhof,1914,"ehemaliges Schulhaus der BASF, repräsentativer gusssteingegliederter Walmdachbau, 1914",//commons.wikimedia.org/wiki/Category:Mennonitenkirche_(Limburgerhof),49.417648,8.395782
Schlösschen im Park,Parkstraße 43 (mit Nr. 41 und 45),Limburgerhof,1826,"Schlösschen im Park; ehemaliges Schlösschen der Gräfin Waldner von Freundstein, dreiteilige Anlage, 1826; klassizistischer Putzbau (Nr. 43), zurückgesetzt zwei sandsteingegliederte Walmdachbauten (Nr. 41 und 45)",Kein Bild vorhanden,49.417902,8.39645
Park,Speyerer Straße,Limburgerhof,"","hervorgegangen aus dem Park des um 1810 errichteten Hofsitzes der Limburger Hofes, heutige Erscheinung im Wesentlichen nach 1826 unter Friedricke Gräfin Waldner von Freundstein, dreiteilige Parkanlage: Englischer Landschaftsgarten, wohl von Johann Zeyher, Schwetzingen; Gemüse- und Pflanzgarten; Obst- bzw. Pächtergarten; Park 1920 und 1969 verkleinert; darin Schlösschen (Parkstraße 43), Turm (Weinbietstraße) und ehemalige Simultankirche (heute Neuapostolische Kirche, Neubau von 1982)",Kein Bild vorhanden,49.417243,8.39691
Kilometerstein,"Speyerer Straße, bei Nr. 14/16",Limburgerhof,1830!um 1830,"Kilometerstein; Sandstein, um 1830",,49.420246,8.394997
Capitol-Lichtspiele,Speyerer Straße 107,Limburgerhof,1954,einschließlich der Ausstattung insbesondere des Foyers im Originalzustand erhaltenes Kino von 1954; seltenes Beispiel eines noch in Betrieb befindlichen Kinos der 1950er Jahre in Rheinland-Pfalz,,49.422858,8.392783
Bahnhof,Speyerer Straße 129,Limburgerhof,"","ehemaliger Bahnhof (ehemaliger Hauptbahnhof Mutterstadt); neuklassizistischer Putzbau, Baujahr 1854, hölzerner Güterschuppen (1992 abgegangen), Toilettenhaus",,49.42404,8.390776
