,,,,,,,,
Denkmalzone 1920er-Jahre-Siedlung Gustav-Pfarrius-Straße,"Gustav-Pfarrius-Straße 14–30 (gerade Nummern), 17–37 (ungerade Nummern), Ringstraße 102–110 (gerade Nummern), Jean-Winckler-Straße 2–20 (gerade Nummern), Röntgenstraße 20–24 (gerade Nummern), 25–35 (ungerade Nummern)",der Kernstadt von Bad Kreuznach,1925!1925/26,"seit 1897 erstellter Gebäudekomplex im Park, gotisierende Sandstein- und Backsteinbauten (erster Bauabschnitt), Architekt Friedrich Langenbach, Barmen; 1912-54 angepasste Ergänzungsbauten, Architekt Willibald Hamburger[2]",Kein Bild vorhanden,nope,nope,
Kindergarten,Hofgartenstraße 32,der Kernstadt von Bad Kreuznach,1905!1905/06,"ehemalige Hauptschule; repräsentativer, drei- und viergeschossiger Klinkerbau mit Putzflächen, 1906, Architekt Friedrich Hartmann",Kein Bild vorhanden,49.84959,7.853279,
Grundschule Hofgartenstraße,Hofgartenstraße 70,der Kernstadt von Bad Kreuznach,1906,"dreigeschossiges Wohnhaus, backsteingegliederter Putzbau, Neurenaissancemotive, 1905/06, Architekt Karl Keller",Kein Bild vorhanden,49.849682,7.852012,
Wohnhaus,Hofgartenstraße 74,der Kernstadt von Bad Kreuznach,1905!1905/06,"Wohnhaus, backsteingegliederter Putzbau, Neurenaissancemotive, 1904, Architekt Karl Keller",Kein Bild vorhanden,49.849339,7.851965,
Wohnhaus,Hofgartenstraße 76,der Kernstadt von Bad Kreuznach,1904,"imposantes Eckwohnhaus, Walmdachbau mit Erkerturm, 1907/08, Architekt Anton Kullmann",Kein Bild vorhanden,49.849263,7.851974,
Wohnhaus,Hofgartenstraße 90,der Kernstadt von Bad Kreuznach,1907!1907/08,75 m langes Mauerstück der Altstadtbefestigung im Garten des heutigen Gymnasiums,Kein Bild vorhanden,49.848604,7.851876,
Stadtmauer,Hospitalgasse,der Kernstadt von Bad Kreuznach,,"großdimensionierte Vierflügelanlage; Gymnasium, Nordflügel 1885, Westtrakt 1912 ff., Aufstockung nach 1945; Aula: Neurenaissance, 1900/01, Architekten Kallmeyer und J. Hensch; Kronenberger Hof, ehemaliges Burghaus: Krüppelwalmdachbau, um 1600",Kein Bild vorhanden,49.841747,7.859279,
Staatliches Gymnasium und Kronberger Hof,Hospitalgasse 4 und 6,der Kernstadt von Bad Kreuznach,1600!ab 1600,"spätgotischer Chor, Bruchstein, 1742; in Neubau des Gymnasiums einbezogen",Kein Bild vorhanden,49.842673,7.859762,
Klosterkirche St. Wolfgang,"Hospitalgasse, zu Nr. 6",der Kernstadt von Bad Kreuznach,,"sogenanntes Gütchen; Dreiflügelanlage, Kernbau spätbarocker Mansarddachbau, Flügelbauten wohl vom Anfang des 19. Jahrhunderts; gründerzeitliches Portierhäuschen, 1900, Neurenaissance-Toranlage; Ökonomie- und Verwaltungsgebäude, anspruchsvoller Backsteinbau, 1902; langgestreckte prächtige Wagenremise mit Zierfachwerk, 1903; Waage, Backsteinbau, um 1898; „Römerhalle“, 1898, Architekt Christian Hacke",Kein Bild vorhanden,49.84217,7.860087,
Puricelli-Hofgut,"Hüffelsheimer Straße 1, 3, 5",der Kernstadt von Bad Kreuznach,1800!Anfang des 19. Jahrhunderts,"villenartiges Wohnhaus mit Walmdach, 1939, Architekt Jean Rheinstädter",Kein Bild vorhanden,49.846557,7.847773,
Wohnhaus,Im Hasenbühl 14,der Kernstadt von Bad Kreuznach,1939,"dreigeschossiger barocker Putzbau, teilweise Fachwerk (verputzt), 17. Jahrhundert (?); spätmittelalterliche Mauerreste",Kein Bild vorhanden,49.833784,7.866626,
Burghaus des „Stumpfen Hofs“,Jahngasse 2,der Kernstadt von Bad Kreuznach,1600!17. Jahrhundert,Teil der Stadtbefestigung am Naheufer, der Sockel des Stumpfen Turms am Zusammenlauf von Nahe und Ellerbach 1845 aufgemauert und mit barockisierender Haube versehen,Kein Bild vorhanden,49.845938,7.856428
Pfeffermühlchen,"Jahngasse, hinter Nr. 9a",der Kernstadt von Bad Kreuznach,,"eingeschossiges Wohnhaus, holzverschalter Fachwerkbau mit Mansarddach, 1924",Kein Bild vorhanden,49.846167,7.857783,
Wohnhaus,Jean-Winckler-Straße 4,der Kernstadt von Bad Kreuznach,1924,"eingeschossiges Wohnhaus, „Halbmassivhaus System Schwarz“, 1924/25",Kein Bild vorhanden,49.839458,7.86839,
Wohnhaus,Jean-Winckler-Straße 6,der Kernstadt von Bad Kreuznach,1924!1924/25,"villenartiges Wohnhaus, 1925, Architekt Wilhelm Förster",Kein Bild vorhanden,49.839335,7.868506,
Wohnhaus,Jean-Winckler-Straße 8,der Kernstadt von Bad Kreuznach,1925,"dreiteiliges villenartiges Doppelhaus, 1925/26, Architekt Martin Au",Kein Bild vorhanden,49.839213,7.868631,
Wohnhaus,Jean-Winckler-Straße 10/12,der Kernstadt von Bad Kreuznach,1925!1925/26,"Wohnhaus mit Walmdach, Art-Déco-Motive, 1926/27, Architekt Martin Au",Kein Bild vorhanden,49.839082,7.86881,
Wohnhaus,Jean-Winckler-Straße 18,der Kernstadt von Bad Kreuznach,1926!1926/27,"Doppelhaus mit Walmdach, Art-Déco-Motive, 1926/27, Architekt Düttermann, Düsseldorf",Kein Bild vorhanden,49.838727,7.869147,
Wohnhaus,"Jean-Winckler-Straße 20, Röntgenstraße 35",der Kernstadt von Bad Kreuznach,1926!1926/27,"Eckwohnhaus mit Walmdach, Neurenaissancemotive, 1896/97, Architekt Rudolf Frey",Kein Bild vorhanden,49.838522,7.869216,
Wohnhaus,Johannisstraße 8,der Kernstadt von Bad Kreuznach,1896!1896/97,"zweieinhalbgeschossiges Wohnhaus, sandsteingegliederter Putzbau, 1905/06, Architekt Peter Monz",Kein Bild vorhanden,49.849615,7.849215,
Wohnhaus,Johannisstraße 9,der Kernstadt von Bad Kreuznach,1905!1905/06,"anspruchsvoller spätklassizistischer Putzbau, wohl von 1850, Architekt J. Müller",Kein Bild vorhanden,49.849502,7.848654,
Wohnhaus,Kaiser-Wilhelm-Straße 2,der Kernstadt von Bad Kreuznach,1850,"herrschaftliche Villa mit Kniestock und Walmdach, Neurenaissance, 1860, Architekt C. Conradi",Kein Bild vorhanden,49.841816,7.856652,
Villa,Kaiser-Wilhelm-Straße 4,der Kernstadt von Bad Kreuznach,1860,"im Neubau der Stadtbücherei: Bronzebüste Gustav Pfarrius, 1898 von Hugo Cauer",Kein Bild vorhanden,49.841684,7.856425,
Skulptur,Kaiser-Wilhelm-Straße 7,der Kernstadt von Bad Kreuznach,1898,"antikisierende Pfeilerhalle, 1850/60",Kein Bild vorhanden,49.841002,7.856027,
Gartenpavillon,"Kaiser-Wilhelm-Straße, zu Nr. 7",der Kernstadt von Bad Kreuznach,1850!1850/60,"dreigeschossiges Wohn- und Geschäftshaus mit Walmdach, Neurenaissance, 1868/69",Kein Bild vorhanden,49.840723,7.856649,
Wohn- und Geschäftshaus,Kaiser-Wilhelm-Straße 10,der Kernstadt von Bad Kreuznach,1868!1868/69,"Verkaufspavillon am Kurparkrand, Anfang des 20. Jahrhunderts",Kein Bild vorhanden,49.839376,7.853657,
Verkaufspavillon,"Kaiser-Wilhelm-Straße, bei Nr. 11",der Kernstadt von Bad Kreuznach,1900!Anfang des 20. Jahrhunderts,"dreigeschossiges Zeilenwohnhaus mit offenen Vorbauten, um 1860",Kein Bild vorhanden,49.84032,7.854328,
Wohnhaus,Kaiser-Wilhelm-Straße 11b,der Kernstadt von Bad Kreuznach,1860!um 1860,"dreieinhalbgeschossiger spätklassizistischer Walmdachbau, 1865, Architekt wohl Johann Pfeiffer",Kein Bild vorhanden,49.839607,7.854343,
Bade- und Logierhaus,Kaiser-Wilhelm-Straße 14,der Kernstadt von Bad Kreuznach,1865,"Gründerzeit-Villa mit Walmdach, 1899/1900, Architekt August Henke",Kein Bild vorhanden,49.838726,7.852929,
Villa,Kaiser-Wilhelm-Straße 18,der Kernstadt von Bad Kreuznach,1899!1899/1900,"dreigeschossiges Wohnhaus mit Kniestock und Walmdach, antikisierende und Neurenaissancemotive, 1865/66, Architekt Ludwig Bohnstedt",Kein Bild vorhanden,49.838267,7.852437,
Bade- und Logierhaus,Kaiser-Wilhelm-Straße 21,der Kernstadt von Bad Kreuznach,1865!1865/66,"Mansarddach-Villa, spätklassizistische Motive, um 1870, Verandaanbau mit Buntglasfenstern von 1905",//commons.wikimedia.org/wiki/Category:Pauluskirche_(Bad_Kreuznach),49.838546,7.853226,
Villa,Kaiser-Wilhelm-Straße 26,der Kernstadt von Bad Kreuznach,1870!um 1870,"anspruchsvolles villenartiges Wohnhaus mit Walmdach, Dachterrasse, 1877/78, Architekt R. Wagener, Treppenturm 1891",Kein Bild vorhanden,49.837567,7.851843,
Wohnhaus,Kaiser-Wilhelm-Straße 28,der Kernstadt von Bad Kreuznach,1877!1877/78,"klassizistisches Eckwohnhaus, 1875, Architekt Heinrich Ruppert",Kein Bild vorhanden,49.837284,7.851562,
Wohnhaus,Kilianstraße 15,der Kernstadt von Bad Kreuznach,1875,Stadtmauerrest mit doppeltem Wassertor der Altstadtbefestigung und Ansatz des ehemaligen Pulverturms,Kein Bild vorhanden,49.846248,7.862486,
Wassertor,Kirschsteinanlage,der Kernstadt von Bad Kreuznach,,"in der parallel zum Naheufer laufenden Mauer Sockelrest des Klappertorturms der Stadtbefestigung, Mauerfragment zum Kauzenberg",Kein Bild vorhanden,49.845645,7.85878,
Klappertorturm,Klappergasse,der Kernstadt von Bad Kreuznach,,"dreieinhalbgeschossiges Eckwohn- und Geschäftshaus, Dreifensterhaus, um 1865; Keller um 1600",Kein Bild vorhanden,49.844287,7.855438,
Wohn- und Geschäftshaus,Kornmarkt 2,der Kernstadt von Bad Kreuznach,1865!um 1865,"herrschaftliches Eckwohn- und Geschäftshaus, dreigeschossiger gründerzeitlicher Klinkerbau mit Mansardwalmdach, 1894/95, Architekten Curjel und Moser, Karlsruhe",Kein Bild vorhanden,49.844199,7.858137,
Wohn- und Geschäftshaus,Kornmarkt 6,der Kernstadt von Bad Kreuznach,1894!1894/95,"großvolumiger, im Kern barocker Bau, 18. Jahrhundert, Mansarddach und Zwerchhaus 1899, Architekt Curjel und Moser, Karlsruhe",Kein Bild vorhanden,49.843732,7.858762,
Hotel und Gasthaus,Kornmarkt 7,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"dreigeschossiges Wohn- und Geschäftshaus, spätgründerzeitlicher Klinkerbau mit Mansardwalmdach, 1898/99, Architekt Philipp und Jean Hassinger, 1932 erweitert",Kein Bild vorhanden,49.843684,7.858951,
Wohn- und Geschäftshaus,"Kreuzstraße 2a/b, Wilhelmstraße 30",der Kernstadt von Bad Kreuznach,1898!1898/99,"ehemaliges Karl-Geib-Museum, ursprünglich evangelisches Schulhaus; anspruchsvoller Porphyrbau mit Walmdach, Neurenaissance, 1850/51, Architekt Overbeck; im Vorgarten „Pfalzsprung“, zwei reliefierte barocke Stelen",Kein Bild vorhanden,49.84451,7.861438,
Stadtbibliothek,Kreuzstraße 69,der Kernstadt von Bad Kreuznach,1850!1850/51,"villenartiges Wohnhaus, antikisierend gegliederter Backsteinbau, 1882 (?)",Kein Bild vorhanden,49.84192,7.85796,
Wohnhaus,Kreuzstraße 76,der Kernstadt von Bad Kreuznach,1882,"Doppelhaus, Porphyrbruchsteinbau, 1847/64",Kein Bild vorhanden,49.842339,7.858058,
Wohnhaus,Kreuzstraße 78/80,der Kernstadt von Bad Kreuznach,1847!1847/64,"Denkmal für Friedrich Müller; Monolith mit Medaillon, 1905, Stanislaus Cauer",Kein Bild vorhanden,49.842108,7.857716,
Denkmal,Kurhausstraße,der Kernstadt von Bad Kreuznach,1905,"Denkmal für Johann Erhard Prieger, lebensgroße Marmorskulptur, 1867, Karl Cauer",Kein Bild vorhanden,49.843418,7.856641,
Denkmal,Kurhausstraße,der Kernstadt von Bad Kreuznach,1867,"spätgotischer Chor und Querhaus, Anfang des 15. Jahrhunderts, Westfront nach 1458, klassizistisches Langhaus und Turm 1768–81, Architekt Philipp Heinrich Hellermann, Meisenheim; mit Ausstattung",Kein Bild vorhanden,49.843838,7.856533,
Evangelische Pauluskirche,Kurhausstraße 2/4,der Kernstadt von Bad Kreuznach,1400!Anfang des 15. Jahrhunderts,"Wohnhaus; Putzbau auf Porphyrsockel, um 1860, verglaster Erker 1911; rückwärtig Backsteinbau, 1891, Architekt Friedrich Metzger",Kein Bild vorhanden,49.844306,7.856806,
Wohnhaus,Kurhausstraße 5,der Kernstadt von Bad Kreuznach,1860!um 1860,"Jugendstilvilla mit Neurenaissancemotiven, 1903/04, Architekt Hans Best",Kein Bild vorhanden,49.842548,7.855823,
Villa,Kurhausstraße 8,der Kernstadt von Bad Kreuznach,1903!1903/04,"dreigeschossiges Mietwohnhaus, 1845/46",Kein Bild vorhanden,49.843239,7.856179,
Wohnhaus,Kurhausstraße 12,der Kernstadt von Bad Kreuznach,1845!1845/46,"herrschaftliches viergeschossiges klassizistisches Wohn- und Geschäftshaus, 1840/41, Architekt H. T. Kaufmann, Maßwerkbalkon 1880er Jahre; im Hof eingeschossiger Putzbau, 1880/81, Architekt August Heinke jun.",Kein Bild vorhanden,49.842759,7.855686,
Wohn- und Geschäftshaus,Kurhausstraße 13,der Kernstadt von Bad Kreuznach,1840!1840/41,"dreigeschossige klassizistische Dreiflügelanlage; Mittelbau von 1833, Aufstockung und Erweiterung Anfang der 1860er Jahre; im Hof bauzeitlicher Putzbau; am Gartenende zweieinhalbgeschossiges Fachwerkhaus, um 1860",Kein Bild vorhanden,49.842014,7.855297,
Gäste- und Badehaus,Kurhausstraße 17,der Kernstadt von Bad Kreuznach,1833,"viergeschossiges, zweiteiliges Wohn- und Geschäftshaus mit Walmdach, klassizistische Motive, um 1850; Brücke zum Bäderhaus 1911/12",Kein Bild vorhanden,49.841682,7.85505,
Wohn- und Geschäftshaus,Kurhausstraße 21,der Kernstadt von Bad Kreuznach,1850!um 1850,"neubarock-neuklassizistische Vierflügelanlage mit Walmdächern, 1911/12, Architekt Oscar Schütz, Köln; dreigeschossiger Mittelbau, zweigeschossige Flügelbauten, Skulptur und Reliefs von Ludwig Cauer",Kein Bild vorhanden,49.841445,7.854751,
Bäderhaus,Kurhausstraße 23,der Kernstadt von Bad Kreuznach,1911!1911/12,"schlossartige Vierflügelanlage, 1913, Architekt Emanuel von Seidl, München, dreigeschossiger Erweiterungsbau, 1929, Architekt Roth, Darmstadt; Kurpark",Kein Bild vorhanden,49.841141,7.854469,
Kurhaus,Kurhausstraße 28,der Kernstadt von Bad Kreuznach,1913,"zweiteiliges spätbarockes Eckwohnhaus, teilweise Fachwerk, nach 1689; straßenbildprägend",Kein Bild vorhanden,49.840813,7.853659,
Wohnhaus,Lämmergasse 5,der Kernstadt von Bad Kreuznach,1689,"Wohn- und Geschäftshaus, teilweise Fachwerk, Treppenturm, im Kern aus dem 15. oder 16. Jahrhundert, Nr. 9 dreigeschossig",Kein Bild vorhanden,49.847312,7.854456,
Wohn- und Geschäftshaus,Lämmergasse 9/11,der Kernstadt von Bad Kreuznach,1400!15. oder 16. Jahrhundert,"Massivbau mit mächtigem Krüppelwalmdach, wohl aus dem späten 18. Jahrhundert",Kein Bild vorhanden,49.847297,7.854114,
Wohn- und Geschäftshaus,Lämmergasse 13,der Kernstadt von Bad Kreuznach,1775!spätes 18. Jahrhundert,"Eckwohn- und Geschäftshaus, teilweise Fachwerk (verputzt), wohl aus dem 18. Jahrhundert, Überformung 1890; Keller vor 1689",Kein Bild vorhanden,49.847269,7.853898,
Wohn- und Geschäftshaus,Lämmergasse 26,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"großvolumiges, im Kern barockes Wohnhaus, teilweise Fachwerk (verputzt), bezeichnet 1779, Umbau 1861; Keller vor 1689",Kein Bild vorhanden,49.847381,7.854436,
Wohnhaus,Lämmergasse 28,der Kernstadt von Bad Kreuznach,1779,"Eckwohnhaus, verputzter Fachwerkbau, um oder bald nach 1700; straßenbildprägend",//commons.wikimedia.org/wiki/Category:Faust-Haus,49.847361,7.854135,
Wohnhaus,Lämmergasse 34,der Kernstadt von Bad Kreuznach,1700!um 1700,"zweieinhalbgeschossiges, verputztes Fachwerkwohnhaus, teilweise verschiefert, Ende des 18. oder Anfang des 19. Jahrhunderts; Teil des sogenannten Kleinen Venedigs",Kein Bild vorhanden,49.847337,7.853852,
Wohnhaus,Lauergasse 5,der Kernstadt von Bad Kreuznach,1800!um 1800,"malerisches, verputztes Fachwerkwohnhaus, 19. Jahrhundert",//commons.wikimedia.org/wiki/Category:Alte_Nahebr%C3%BCcke_(Bad_Kreuznach),49.846093,7.855588,
Wohnhaus,Lauergasse 9,der Kernstadt von Bad Kreuznach,1800!19. Jahrhundert,"Wohnhaus, gründerzeitlicher Backsteinbau, 1885, Architekt Eduard Zimmermann",Kein Bild vorhanden,49.846066,7.855287,
Wohnhaus,Lauergasse 11,der Kernstadt von Bad Kreuznach,1885,Teil der Stadtbefestigung der Neustadt: Uferbefestigung mit einer Öffnung zum Ellerbach,Kein Bild vorhanden,49.846098,7.855124,
Fischerpforte,Magister-Faust-Gasse,der Kernstadt von Bad Kreuznach,,"dreigeschossiges Dreifensterhaus, Mitte des 19. Jahrhunderts; Teil des sogenannten Kleinen Venedigs",Kein Bild vorhanden,49.846331,7.857191,
Wohnhaus,Magister-Faust-Gasse 2,der Kernstadt von Bad Kreuznach,1850!Mitte des 19. Jahrhunderts,"dreigeschossiges Vierfensterhaus, verputzter Fachwerkbau, späteres 18. Jahrhundert; Teil des sogenannten Kleinen Venedigs",Kein Bild vorhanden,49.846172,7.856184,
Wohnhaus,Magister-Faust-Gasse 4,der Kernstadt von Bad Kreuznach,1775!späteres 18. Jahrhundert,"dreigeschossiges Dreifensterhaus, verputzter Fachwerkbau, spätes 18. Jahrhundert, Vorbauten 1890; Teil des sogenannten Kleinen Venedigs",Kein Bild vorhanden,49.846177,7.856265,
Wohnhaus,Magister-Faust-Gasse 6,der Kernstadt von Bad Kreuznach,1775!spätes 18. Jahrhundert,"dreigeschossiges Wohnhaus auf unregelmäßigem Grundriss, teilweise Fachwerk, frühes 19. Jahrhundert",Kein Bild vorhanden,49.846202,7.856356,
Wohnhaus,Magister-Faust-Gasse 9,der Kernstadt von Bad Kreuznach,1800!frühes 19. Jahrhundert,"Doppelwohnhaus, verputzte Fachwerkbauten, wohl aus dem 18. Jahrhundert, Nr. 17 1894 teilweise verändert; straßenbildprägend",Kein Bild vorhanden,49.846415,7.857087,
Wohnhaus,Magister-Faust-Gasse 15/17,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"Zeilenwohnhaus, teilweise Fachwerk (verputzt), Anfang des 19. Jahrhunderts",Kein Bild vorhanden,49.846469,7.857243,
Wohnhaus,Magister-Faust-Gasse 21,der Kernstadt von Bad Kreuznach,1800!Anfang des 19. Jahrhunderts,"Wohnhaus, verputzter Fachwerkbau, Krüppelwalmdach, 18. Jahrhundert; Teil des sogenannten Kleinen Venedigs",Kein Bild vorhanden,49.846495,7.857495,
Städtische Fasseiche,Magister-Faust-Gasse 24,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"großvolumiges Wohnhaus, barocker Krüppelwalmdachbau über älterem (mittelalterlichem?) Keller, Torfahrt 1821, bezeichnet 1604 (?)",Kein Bild vorhanden,49.846363,7.857081,
Elt’scher Hof,Magister-Faust-Gasse 25,der Kernstadt von Bad Kreuznach,1604,"dreigeschossiges Zeilenwohnhaus, teilweise Fachwerk (verputzt), um 1800 mit älteren Teilen, Ladeneinbau 1896; Teil des sogenannten Kleinen Venedigs",Kein Bild vorhanden,49.84654,7.857802,
Wohnhaus,Magister-Faust-Gasse 28,der Kernstadt von Bad Kreuznach,1800!um 1800,"dreigeschossiges Zeilenwohnhaus, teilweise Fachwerk (verputzt), um 1800; Teil des sogenannten Kleinen Venedigs",Kein Bild vorhanden,49.846418,7.857424,
Wohnhaus,Magister-Faust-Gasse 30,der Kernstadt von Bad Kreuznach,1800!um 1800,"dreigeschossiger Putzbau, Erdgeschoss massiv, die beiden Obergeschosse verputztes Fachwerk",Kein Bild vorhanden,49.846433,7.857518,
Wohnhaus,Magister-Faust-Gasse 46,der Kernstadt von Bad Kreuznach,,"Wohn- und Geschäftshaus, Sichtfachwerk wohl von 1764, Krüppelwalmdach, Keller bezeichnet 1590",Kein Bild vorhanden,49.846577,7.858189,
Dr.-Faust-Haus,Magister-Faust-Gasse 47,der Kernstadt von Bad Kreuznach,1764,dreigeschossiger verputzter Fachwerkbau mit massivem Erdgeschoss,Kein Bild vorhanden,49.847187,7.858841,
Wohnhaus,Magister-Faust-Gasse 48,der Kernstadt von Bad Kreuznach,,"überspannt die Nahe, den Badewörth und den Mühlenteich, um 1300, mehrfach verändert",Kein Bild vorhanden,49.846618,7.858257,
Alte Nahebrücke,Mannheimer Straße,der Kernstadt von Bad Kreuznach,1300!um 1300,"Renaissancebau, 1563, dreigeschossiger klassizistischer Anbau, Anfang des 19. Jahrhunderts (?)",Kein Bild vorhanden,49.844594,7.858052,
Dienheimer Hof,Mannheimer Straße 6,der Kernstadt von Bad Kreuznach,1563,"dreigeschossiges Eckwohn- und Geschäftshaus, mehrteiliger Gebäudekomplex, teilweise aus dem 16. Jahrhundert, im 18. Jahrhundert durch Aufstockung zusammengefasst",Kein Bild vorhanden,49.847656,7.85513,
Gottschalk des Juden Haus,Mannheimer Straße 12,der Kernstadt von Bad Kreuznach,1500!16. Jahrhundert,"stattliches dreigeschossiges Wohn- und Geschäftshaus, klassizistischer Bruchsteinbau mit Walmdach, 1884",Kein Bild vorhanden,49.847287,7.855279,
Wohn- und Geschäftshaus,Mannheimer Straße 15,der Kernstadt von Bad Kreuznach,1884,"dreigeschossiges Wohn- und Geschäftshaus, spätbarocker Fachwerkbau; Keller vor 1689",Kein Bild vorhanden,49.847331,7.855395,
Wohn- und Geschäftshaus,Mannheimer Straße 16,der Kernstadt von Bad Kreuznach,,"dreigeschossiges Wohn- und Geschäftshaus, verputzter Fachwerkbau mit Walmdach, 18. Jahrhundert, Ladeneinbau um 1897; Keller vor 1689",Kein Bild vorhanden,49.847091,7.855357,
Wohn- und Geschäftshaus,Mannheimer Straße 17,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"dreigeschossiges Wohn- und Geschäftshaus, verputzter Fachwerkbau mit Mansarddach, 18. Jahrhundert, Ladeneinbau 1904",Kein Bild vorhanden,49.847255,7.855423,
Wohn- und Geschäftshaus,Mannheimer Straße 19,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"dreieinhalbgeschossiges Wohn- und Geschäftshaus, spätklassizistische Motive, wohl aus dem dritten Viertel des 19. Jahrhunderts",Kein Bild vorhanden,49.847206,7.855516,
Wohn- und Geschäftshaus,Mannheimer Straße 21,der Kernstadt von Bad Kreuznach,1850!drittes Viertel des 19. Jahrhunderts,"dreigeschossiges Wohn- und Geschäftshaus, verputzter Fachwerkbau mit Walmdach, bezeichnet 1764 und 1864 (klassizistischer Umbau); zwei Keller vor 1689",Kein Bild vorhanden,49.847167,7.855605,
Wohn- und Geschäftshaus,Mannheimer Straße 22,der Kernstadt von Bad Kreuznach,1764,"dreigeschossiges Eckwohn- und Geschäftshaus, verputzter Fachwerkbau, 18. Jahrhundert; Keller vor 1689",Kein Bild vorhanden,49.846877,7.855362,
Wohn- und Geschäftshaus,Mannheimer Straße 27,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"dreigeschossiges Eckwohn- und Geschäftshaus, spätbarocker, verbretterter Fachwerkbau",Kein Bild vorhanden,49.846917,7.855534,
Wohn- und Geschäftshaus,Mannheimer Straße 29,der Kernstadt von Bad Kreuznach,,"Nr. 32 dreigeschossiges Wohn- und Geschäftshaus, Fachwerkbau, 17. Jahrhundert (?), Nr. 34 verputzter Fachwerkbau, Nr. 36 teilweise Fachwerk",Kein Bild vorhanden,49.846832,7.855583,
Wohn- und Geschäftshäuser,"Mannheimer Straße 32, 34, 36",der Kernstadt von Bad Kreuznach,1600!17. Jahrhundert,"Wohn- und Geschäftshaus, imposanter Neurenaissancebau, 1853, Aufstockung mit Walmdach 1950, Architekt Max Weber",Kein Bild vorhanden,49.846561,7.855616,
Löwenapotheke,Mannheimer Straße 35,der Kernstadt von Bad Kreuznach,1853,"viergeschossiges Wohn- und Geschäftshaus, Fachwerkbauten, spätes 18. Jahrhundert, im 19. Jahrhundert klassizistisch überformt und verputzt, Keller vor 1689",Kein Bild vorhanden,49.846629,7.855717,
Wohn- und Geschäftshaus,Mannheimer Straße 39,der Kernstadt von Bad Kreuznach,1775!spätes 18. Jahrhundert,dreigeschossige spätgotische Wendeltreppe,Kein Bild vorhanden,49.846318,7.855949,
Treppe,"Mannheimer Straße, in Nr. 40",der Kernstadt von Bad Kreuznach,,"viergeschossiges Wohn- und Geschäftshaus, Fachwerkbauten, spätes 18. Jahrhundert, im 19. Jahrhundert klassizistisch überformt und verputzt",Kein Bild vorhanden,49.84638,7.855756,
Wohn- und Geschäftshaus,Mannheimer Straße 41,der Kernstadt von Bad Kreuznach,1775!spätes 18. Jahrhundert,"dreigeschossiges Eckwohn- und Geschäftshaus, teilweise Marmor, 1849; Teil des sogenannten Kleinen Venedigs",Kein Bild vorhanden,49.846232,7.855969,
Brückenhaus,Mannheimer Straße 43,der Kernstadt von Bad Kreuznach,1849,"dreigeschossiges Zeilenwohn- und Geschäftshaus, verputzter Fachwerkbau mit Mansarddach, 18. oder 19. Jahrhundert",Kein Bild vorhanden,49.846119,7.856034,
Brückenhaus,Mannheimer Straße 45,der Kernstadt von Bad Kreuznach,1700!18. oder 19. Jahrhundert,"dreigeschossiges Eckwohn- und Geschäftshaus, teilweise Fachwerk (verputzt), Walmdach, 18. Jahrhundert",Kein Bild vorhanden,49.846027,7.856066,
Wohn- und Geschäftshaus,Mannheimer Straße 47,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"dreigeschossiges Eckwohn- und Geschäftshaus, Klinkerbau, 1905, Architekten Henke & Sohn",Kein Bild vorhanden,49.845949,7.856104,
Wohn- und Geschäftshaus,Mannheimer Straße 49,der Kernstadt von Bad Kreuznach,1905,"viergeschossige spätbarocke Wohn- und Geschäftshäuser, teilweise Fachwerk (verputzt), zweite Hälfte des 18. Jahrhunderts; Teil des sogenannten Kleinen Venedigs",Kein Bild vorhanden,49.845847,7.85618,
Wohn- und Geschäftshäuser,Mannheimer Straße 52 und 54,der Kernstadt von Bad Kreuznach,1750!zweite Hälfte des 18. Jahrhunderts,"dreigeschossiges spätbarockes Doppelhaus, 18. Jahrhundert, klassizistische Überformung im 19. Jahrhundert; Keller wohl um 1500",Kein Bild vorhanden,49.846018,7.855948,
Wohn- und Geschäftshaus,Mannheimer Straße 53/55,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"dreigeschossiges Zeilenwohn- und Geschäftshaus, teilweise Fachwerk (verputzt), zweite Hälfte des 18. Jahrhunderts, Anbau auf Knaggen; Teil des sogenannten Kleinen Venedigs",Kein Bild vorhanden,49.845703,7.856257,
Wohn- und Geschäftshaus,Mannheimer Straße 56,der Kernstadt von Bad Kreuznach,1750!zweite Hälfte des 18. Jahrhunderts,"dreigeschossiges Wohn- und Geschäftshaus, verputzter Fachwerkwerkbau mit Walmdach, 18. Jahrhundert; ältere Keller",Kein Bild vorhanden,49.845933,7.855983,
Wohn- und Geschäftshaus,Mannheimer Straße 60,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"zweiachsiges Wohn- und Geschäftshaus, teilweise Fachwerk, bezeichnet 1671, Mansarddach 18. Jahrhundert",Kein Bild vorhanden,49.845776,7.855943,
